378,calling.,govinda
379,govinda,knew
380,knew,he
381,he,would
382,would,not
383,not,become
384,become,a
385,a,common
386,common,brahman
387,brahman,not
388,not,a
389,a,lazy
390,lazy,official
391,official,in
392,in,charge
393,charge,of
394,of,offerings
395,offerings,not
396,not,a
397,a,greedy
398,greedy,merchant
399,merchant,with
400,with,magic
401,magic,spells
402,spells,not
403,not,a
404,a,vain
405,vain,vacuous
406,vacuous,speaker
407,speaker,not
408,not,a
409,a,mean
410,mean,deceitful
411,deceitful,priest
412,priest,and
413,and,also
414,also,not
415,not,a
416,a,decent
417,decent,stupid
418,stupid,sheep
419,sheep,in
420,in,the
421,the,herd
422,herd,of
423,of,the
424,the,many.
425,many.,no
426,no,and
427,and,he
428,he,govinda
429,govinda,as
430,as,well
431,well,did
432,did,not
433,not,want
434,want,to
435,to,become
436,become,one
437,one,of
438,of,those
439,those,not
440,not,one
441,one,of
442,of,those
443,those,tens
444,tens,of
445,of,thousands
446,thousands,of
447,of,brahmans.
448,brahmans.,he
449,he,wanted
450,wanted,to
451,to,follow
452,follow,siddhartha
453,siddhartha,the
454,the,beloved
455,beloved,the
456,the,splendid.
457,splendid.,and
458,and,in
459,in,days
460,days,to
461,to,come
462,come,when
463,when,siddhartha
464,siddhartha,would
465,would,become
466,become,a
467,a,god
468,god,when
469,when,he
470,he,would
471,would,join
472,join,the
473,the,glorious
474,glorious,then
475,then,govinda
476,govinda,wanted
477,wanted,to
478,to,follow
479,follow,him
480,him,as
481,as,his
482,his,friend
483,friend,his
484,his,companion
485,companion,his
486,his,servant
487,servant,his
488,his,spear-carrier
489,spear-carrier,his
490,his,shadow.
491,shadow.,siddhartha
492,siddhartha,was
493,was,thus
494,thus,loved
495,loved,by
496,by,everyone.
497,everyone.,he
498,he,was
499,was,a
500,a,source
501,source,of
502,of,joy
503,joy,for
504,for,everybody
505,everybody,he
506,he,was
507,was,a
508,a,delight
509,delight,for
510,for,them
511,them,all.
512,all.,but
513,but,he
514,he,siddhartha
515,siddhartha,was
516,was,not
517,not,a
518,a,source
519,source,of
520,of,joy
521,joy,for
522,for,himself
523,himself,he
524,he,found
525,found,no
526,no,delight
527,delight,in
528,in,himself.
529,himself.,walking
530,walking,the
531,the,rosy
532,rosy,paths
533,paths,of
534,of,the
535,the,fig
536,fig,tree
537,tree,garden
538,garden,sitting
539,sitting,in
540,in,the
541,the,bluish
542,bluish,shade
543,shade,of
544,of,the
545,the,grove
546,grove,of
547,of,contemplation
548,contemplation,washing
549,washing,his
550,his,limbs
551,limbs,daily
552,daily,in
553,in,the
554,the,bath
555,bath,of
556,of,repentance
557,repentance,sacrificing
558,sacrificing,in
559,in,the
560,the,dim
561,dim,shade
562,shade,of
563,of,the
564,the,mango
565,mango,forest
566,forest,his
567,his,gestures
568,gestures,of
569,of,perfect
570,perfect,decency
571,decency,everyone
572,everyone,&apos;s
573,&apos;s,love
574,love,and
575,and,joy
576,joy,he
577,he,still
578,still,lacked
579,lacked,all
580,all,joy
581,joy,in
582,in,his
583,his,heart.
584,heart.,dreams
585,dreams,and
586,and,restless
587,restless,thoughts
588,thoughts,came
589,came,into
590,into,his
591,his,mind
592,mind,flowing
593,flowing,from
594,from,the
595,the,water
596,water,of
597,of,the
598,the,river
599,river,sparkling
600,sparkling,from
601,from,the
602,the,stars
603,stars,of
604,of,the
605,the,night
606,night,melting
607,melting,from
608,from,the
609,the,beams
610,beams,of
611,of,the
612,the,sun
613,sun,dreams
614,dreams,came
615,came,to
616,to,him
617,him,and
618,and,a
619,a,restlessness
620,restlessness,of
621,of,the
622,the,soul
623,soul,fuming
624,fuming,from
625,from,the
626,the,sacrifices
627,sacrifices,breathing
628,breathing,forth
629,forth,from
630,from,the
631,the,verses
632,verses,of
633,of,the
634,the,rig-veda
635,rig-veda,being
636,being,infused
637,infused,into
638,into,him
639,him,drop
640,drop,by
